Industry_Type,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage,Continent
Manufacturing,china,2021,166.14,440.93,36.02,187.18,30.86,18.93,469.23,8155.74,89.57,23.19,-5.57,8.26,Asia
Mining,china,2015,120.61,256.36,99.78,121.72,9.04,12.73,576.41,10258.67,23.88,88.99,-4.38,-4.68,Asia
Mining,china,2018,135.74,437.99,95.57,16.61,15.79,9.84,949.58,10027.69,32.73,35.37,8.11,-2.96,Asia
Energy,china,2005,243.96,846.36,29.9,16.98,42.84,14.77,1103.23,15465.04,66.32,47.02,3.11,7.66,Asia
Construction,india,2012,27.38,608.97,51.88,51.57,8.73,17.4,1445.01,8709.89,39.34,12.19,-6.25,8.2,Asia
Manufacturing,china,2008,189.78,36.63,87.97,125.83,14.49,0.51,33.3,19558.41,81.65,46.9,11.54,-4.01,Asia
Construction,india,2017,244.68,840.89,29.89,116.04,27.13,5.45,870.49,22252.34,32.4,71.53,-1.76,5.17,Asia
Manufacturing,china,2009,50.14,150.82,3.11,189.44,49.17,14.2,116.81,10352.61,44.05,56.42,-5.04,7.46,Asia
Manufacturing,china,2017,185.97,422.8,58.56,52.64,2.71,10.2,295.76,22130.9,86.62,98.03,4.09,7.38,Asia
Construction,india,2006,154.96,691.52,49.55,109.16,8.29,16.29,966.32,22508.59,28.54,0.56,-9.66,4.21,Asia
Manufacturing,china,2013,153.65,58.47,44.96,24.86,30.75,12.92,1320.27,21042.98,53.56,30.78,14.21,5.96,Asia
Manufacturing,india,2011,282.62,960.24,22.86,119.79,27.38,9.45,1.57,14406.21,87.68,29.83,4.09,4.22,Asia
Manufacturing,india,2011,207.51,668.08,27.68,104.46,12.57,0.26,127.85,14103.98,74.51,43.08,6.64,-3.81,Asia
Mining,china,2005,3.36,910.25,87.89,28.58,1.84,19.74,211,6107.21,57.12,28.72,13.29,8.59,Asia
Mining,china,2013,27.98,805.63,67.2,31.48,17.76,19.32,790.32,17915.41,57.07,44.45,10.49,4.09,Asia
Manufacturing,india,2022,223.67,405.54,4.7,99.26,24.44,11.81,1142.93,16953.86,84.59,79.31,1.85,-4.94,Asia
Construction,india,2003,16.39,41.09,45.6,140.28,17.73,16.61,1263.53,6937.42,95.77,17.63,12.46,1.28,Asia
Mining,china,2009,111.42,927.55,96.57,172.26,46.62,3.59,338.39,3959.13,79.25,35.48,1.91,3.11,Asia
Construction,china,2005,217.39,567.79,81.69,14.52,26.39,1.54,217.43,21441.47,97.93,49.79,4.59,1.51,Asia
Mining,china,2021,42.99,876,51.31,23.54,48.1,10.51,509.19,24785.47,69.39,48.67,13.24,-1.46,Asia
Mining,india,2003,289.85,96.47,2.53,186.87,11.5,2.73,1142.18,19669.67,38.88,27.52,0.11,-1.01,Asia
Energy,china,2019,132.52,808.44,36.96,109.12,37.73,16.44,204.08,2988.16,33.52,24.29,1.42,9.67,Asia
Mining,india,2021,43.9,933.06,78.83,150.69,5.94,18.99,308.67,2359.49,55.38,98.05,-8.84,-3.34,Asia
Energy,india,2000,299.48,386.11,32.71,198.15,24.22,2.38,1471.63,7326.82,37.46,21.25,9.63,1.86,Asia
Manufacturing,india,2016,177.01,14.2,58.66,1.93,16.71,2.28,451.43,11229.11,92.98,33.78,0.95,9.07,Asia
Energy,china,2000,294.76,925.92,50.96,118.33,23.83,12.5,785.5,19008.93,31.86,46.22,-2.73,-2.26,Asia
Mining,india,2004,65.7,833.73,75.98,38.37,23.18,6.56,1474.61,23527.12,31.25,64.12,-6.85,5.58,Asia
Mining,india,2013,19.81,18.49,16.65,178.87,44.33,16.1,774.86,10030.37,70.36,0.75,-8.96,-2.88,Asia
Construction,india,2010,193.48,731.49,36.3,40.65,30.95,9.88,712.2,11521.51,63.7,30.96,13.28,2.46,Asia
Mining,india,2009,1.55,95.21,3.14,121.73,26.8,9.05,345.05,16243.44,84.63,33.52,12.82,8.48,Asia
Mining,india,2020,195.5,774.23,44.17,184.21,38.6,0.64,1439.35,10009.66,79,14.34,0.33,3.2,Asia
Construction,india,2021,140.08,512,76.4,170.95,13.51,8.18,794.91,19927.85,48.85,73.47,8.78,0.55,Asia
Manufacturing,india,2018,93.65,359.36,51.96,65.97,35.67,19.46,1249.58,13634.82,57.27,40.31,-6.72,-0.2,Asia
Construction,china,2008,263.38,248.33,74.77,158.93,42.64,19.46,865,19504.16,35.39,75.09,7.05,0.99,Asia
Mining,china,2022,145.44,239.51,2.22,183.39,14.01,7.66,308.79,2291.36,38.21,17.73,3.27,-1.51,Asia
Construction,india,2018,104.82,160.96,24.12,119.21,42.39,9.7,906.47,9620.38,65.9,35.11,-0.73,9.16,Asia
Energy,china,2015,6.27,77.01,47.08,110.72,4.52,16.01,825.01,14997.21,26.93,5.35,2.4,8.14,Asia
Energy,india,2010,191.97,233.15,95.2,150.36,7.39,17.27,48.41,8554.73,91.24,86.63,11.04,6.38,Asia
Manufacturing,india,2005,25.57,417.96,86.75,87.98,23.33,1.74,616.8,12833,32.3,9.34,3.77,4.47,Asia
Construction,china,2022,99.46,725.25,18.27,174.06,9.47,12.84,822.6,13289.09,65.81,42.03,5.93,6.59,Asia
Mining,china,2021,220.15,110.72,69.58,131.15,30.37,18.83,356.85,5005.85,97.96,26.12,9.59,3.63,Asia
Construction,india,2020,38.96,68.19,4.35,105.71,1.59,3.37,621.47,13916.15,36.6,10.57,-0.73,0.66,Asia
Manufacturing,india,2003,125.79,12.05,67.75,75.05,2.31,9.59,124.28,4801.5,74.89,32.4,-6.76,7.81,Asia
Mining,china,2005,29.08,160.45,97.79,91.45,32.65,3.96,1211.92,20611.36,87,61.1,11.45,0.65,Asia
Mining,china,2011,143.84,495.74,98.1,154.4,9.16,2.26,1072.67,17856.13,81.32,26.17,-8.73,7.91,Asia
Construction,china,2020,106.54,314.8,52.25,60.81,19.5,13.43,1491.91,7769.43,76.92,37.23,11.17,-0.92,Asia
Mining,india,2003,173.49,428.23,33.46,139.68,13.05,2.63,427.34,13746.87,27.4,31.99,-0.27,1.81,Asia
Energy,china,2001,129.09,546.7,97.87,89.09,8.54,4.26,841.88,2531.8,55.78,78.69,13.54,2.18,Asia
Manufacturing,india,2006,171.4,818.6,5.39,10.76,19.21,10.26,527.56,4969.06,57.76,95.11,-5.68,-3.87,Asia
Mining,china,2012,296.8,263.84,73.75,170.17,28.32,3.76,219.05,17746.76,64.12,45.08,5.56,5.61,Asia
Energy,india,2015,140.07,226.93,42.86,172.26,11.37,12.95,1146.44,11018.07,80.7,8.25,-3.6,9.89,Asia
Manufacturing,china,2013,143.33,185.14,62.34,157.34,39.97,16.65,1024.09,17078.33,56.32,61.17,8.14,-3.77,Asia
Construction,india,2011,74.16,81.4,30.57,122.43,41.91,2.86,483.37,14398.24,83.85,96.84,6.99,-3.8,Asia
Mining,india,2016,169.97,515.68,39.3,167.06,42.94,18.11,1016.96,1332.83,87.74,80.58,7.79,5.45,Asia
Energy,india,2012,104.95,127.52,23.61,33.65,35.1,19.25,418.58,14788.15,85.78,46.71,0.3,-0.47,Asia
Energy,india,2001,221.44,498.07,95.6,98.35,45.15,1.51,531.45,13165.85,69.53,41.58,-8.59,-3.01,Asia
Mining,india,2018,32.88,905.49,13.49,89.74,15,7.92,49.21,18513.1,67.57,78.84,6.38,4,Asia
Energy,china,2005,281.6,469.99,55.85,181.35,3.89,6.53,350.39,2165.77,86.56,44.54,4.42,-4.88,Asia
Manufacturing,china,2005,65.54,213.56,23.69,93.74,39.82,8,245.86,22119.94,99.11,45.29,-4.22,4.52,Asia
Manufacturing,china,2017,70,618.09,97.87,188.32,19.84,16.46,324.35,14800.91,72.78,98.27,7.53,-2.72,Asia
Construction,china,2013,106.21,779.02,62.26,191.32,45.04,16.29,1115.24,2033.33,61.08,10.07,6.16,5.05,Asia
Mining,india,2021,241.11,779.09,89.25,175.55,2.45,4.19,1127.06,17212.78,32.38,23.76,3.33,-4,Asia
Manufacturing,india,2015,83.95,174.3,14.17,75.54,43.67,11.89,948.44,16935.24,81.34,46.74,11.45,6.23,Asia
Construction,india,2015,143,357.27,27.94,109.68,39.57,14.74,337.41,14616.58,60.41,18.82,0.92,-1.68,Asia
Manufacturing,india,2007,110.85,189.59,85.23,192.21,17.88,18.78,1190.1,9219.67,35.04,36.17,12.04,-3.69,Asia
Manufacturing,china,2013,261.98,314.13,67.6,161.31,44.93,6.32,1192.4,10493.1,56.96,94,1.26,-4.91,Asia
Mining,china,2007,259.52,809.89,87.01,158.73,9.07,10.67,372.38,17347.32,28.04,67.57,-2.58,-0.45,Asia
Mining,china,2019,124.98,741.88,65.41,43.28,49.87,2.22,1492.4,19479.06,79.81,79.99,-6.21,7.87,Asia
Construction,china,2019,36.98,178.99,5.74,46.81,16.06,8.9,806.42,7006.88,20.12,34.43,2.19,8.65,Asia
Mining,china,2017,38.15,780.19,25.65,153.56,24.84,6.16,944.73,4259.49,60.59,84.17,14.62,5.62,Asia
Mining,india,2000,180.31,67.28,96.01,148.45,35.53,17.47,514.47,6946.3,52.59,44.41,3.93,-3.52,Asia
Construction,india,2004,237.78,172.35,14.38,188.49,43.26,7.76,566.38,21696.51,33.95,9.41,-8.99,5.8,Asia
Mining,china,2005,244.33,213.23,77.63,96.3,4.23,11.76,1382.6,3665.66,97.43,34.21,-1.52,8.74,Asia
Construction,india,2008,48.41,910.85,30.35,48.81,28.34,15.84,324.32,7146.47,46.55,17.9,-3.47,-0.9,Asia
Construction,china,2017,65.05,109,68.5,45.1,25.64,2.39,812.5,1431.68,67.68,90.13,0.13,-3.93,Asia
Construction,china,2020,72.77,463.68,44.6,180.77,15.61,17.31,890.47,11888.22,33.48,16.76,2.61,-3.47,Asia
Construction,china,2017,237.8,919.46,92.83,44.7,26.85,18.75,581.59,793.88,84.39,32.63,-1.08,0.22,Asia
Construction,china,2011,188.81,440.98,88.85,140.55,42.21,0.23,1366.99,16489.9,54.64,60.19,-1.14,-4.27,Asia
Construction,india,2019,188.86,962.15,53.79,111.48,48.16,0.39,1457.28,2346.07,98.87,85.14,-2.57,-0.46,Asia
Construction,china,2003,167.56,322.36,55.9,191.48,37.37,10.33,1457.57,5186.83,94.48,79.9,-7.23,-3.61,Asia
Energy,india,2004,240.73,437.2,77.07,65.62,47.19,11.41,1353.5,19443.96,42.77,56.22,11.13,0.39,Asia
Mining,china,2014,81.29,156.15,68.87,24.7,27.48,3.54,1075.63,19434.53,25.49,64.74,-7.41,-3.91,Asia
Manufacturing,china,2022,286.65,675.59,17.17,3.01,19.8,17.22,1442.02,873.3,75.54,9.55,5.85,-0.42,Asia
Energy,china,2006,77.84,346.3,19.77,190.07,13.3,4.56,79.73,13871.37,76.12,68.96,8.93,7.67,Asia
Construction,china,2004,134.67,509.86,90.82,118.14,38.74,19.74,63.28,4265.9,79.21,68.43,-5.32,1.01,Asia
Energy,china,2014,57.09,21.27,84.88,56.48,36.22,16.09,1030.02,2778.31,81.28,75.89,14.56,4.85,Asia
Manufacturing,india,2017,34.99,806.95,53.6,151.44,18.57,18.42,829.83,778.83,48,22.68,-2.23,7.59,Asia
Energy,china,2006,50.66,938.24,93.55,31.3,13.9,1.67,202.55,14383.32,76.15,85.59,7.7,5.56,Asia
Construction,india,2021,245.31,380.55,95.74,120.88,45.05,0.86,1435.42,5422.27,97.24,16.84,1.2,8.59,Asia
Construction,india,2015,170.1,259.16,62.47,137.73,27.74,3.13,382.12,22094.31,43.97,13.14,-7.25,6.36,Asia
Construction,china,2021,44.43,881.61,92.27,82.88,33.49,17.96,1363.19,12658.55,75.67,89.85,-5.47,-4.31,Asia
Energy,china,2012,238.73,472.46,58.12,111.77,19.49,18.94,679.42,22794.91,95.88,74.96,-6.62,4.71,Asia
Mining,china,2008,94.22,170.83,55.77,94.86,7.1,18.93,784.82,8601.43,58.53,75.32,3.89,-1,Asia
Mining,india,2003,25.78,232.95,41.76,151.73,2.77,7.64,984.94,16357.32,38.65,23.13,6.56,2.39,Asia
Manufacturing,china,2007,213.32,222.7,49.35,192.39,4.4,3.22,1233.91,16896.25,35.94,7.1,-7.31,2.85,Asia
Construction,india,2011,26.7,119.62,4.08,184.01,5.78,5.32,1327.94,10414.41,51.95,8.9,4.78,1.63,Asia
Manufacturing,china,2013,147.37,702.11,78.38,38.72,23.65,10.34,1017.58,16685.41,22.59,2.56,8.28,-0.87,Asia
Construction,china,2009,286.94,535.31,50.35,143.91,26.27,0.1,1220.47,6219.22,56.85,72.65,5.08,4.49,Asia
Manufacturing,india,2009,188.62,317.35,3.34,160.76,35.12,9.92,803.03,9821.1,28.23,56.84,-4,1.56,Asia
Energy,china,2006,191.03,518.85,83.96,10.41,15.03,3.76,808.77,22785.66,60.25,61.83,-0.48,-2.1,Asia
Manufacturing,india,2006,263.98,627.92,98.69,132.24,39.56,7.91,643.58,1408.73,36.03,81.11,-2.56,0.9,Asia
Construction,india,2002,198.47,628.27,43.2,153.21,30.59,0.95,1464.81,13084.09,31.39,23.67,11.02,1.05,Asia
Mining,india,2012,17.48,427.03,84.69,182.18,36.6,7.93,396.66,12388.99,57.33,35.9,11.99,-3.21,Asia
Manufacturing,india,2004,282.3,581.43,43.53,95.02,34.15,15.63,751.2,9332.21,78.35,50.21,-5.85,-1.87,Asia
Mining,china,2004,291.26,46.89,69.13,166.03,21.27,16.01,43.27,17803.25,58.7,51.19,2.88,5.59,Asia
Construction,india,2006,93.59,307.95,65.1,126.22,12.66,12.45,151.55,5076.02,73.91,69.51,12.64,-0.47,Asia
Construction,china,2010,160.02,62.49,20.71,156.58,18.01,17.31,329.48,10335.01,41.8,76.16,5.88,0.34,Asia
Mining,china,2010,280.61,174.12,52.08,199.97,32.14,7.63,19.29,11528.22,54.48,65.89,-5.03,6.69,Asia
Construction,china,2009,115.25,815.57,73,179.69,33.22,11.02,831.52,13581.06,77,97.84,7.07,-1.67,Asia
Construction,china,2010,223.53,485.8,47.46,69.86,22.01,15.3,1034.48,21552.2,48.65,89.52,9.11,3.26,Asia
Mining,india,2010,2.85,736.96,3.74,152,45.05,0.32,775.07,9840.15,39.58,95.72,7.37,-3.41,Asia
Manufacturing,china,2016,207.9,342.28,44.56,21.78,37.83,4.57,581.77,4477.83,48.18,43.21,-2.82,0.42,Asia
Mining,india,2019,270.82,29.08,93.54,176.74,26.42,9.66,227.86,24532.02,92.35,86.93,9.28,2.8,Asia
Manufacturing,china,2001,114.52,116.55,81.29,26.17,49.15,3.4,1321.46,7130.04,50.86,28.18,7.83,3.21,Asia
Mining,india,2000,14.75,86.2,72.82,107.06,31.85,16.47,1381.99,18726.66,23.49,30.48,3.84,6.58,Asia
Manufacturing,india,2015,16.82,825.08,59.8,21.34,15.66,5.66,970.61,6498.76,68.02,42.87,6.84,-3.3,Asia
Manufacturing,china,2022,63.9,946.08,6.64,152.48,10.05,4.32,316.99,4727.61,46.47,68.4,-9.89,-3.32,Asia
Mining,china,2007,287.16,733.78,10.49,86.02,26.85,18.39,1005.34,15495.13,32.88,20.79,-5.92,5.35,Asia
Energy,india,2006,259.24,279.11,83.47,145.02,4.7,1.2,518.71,12241.85,90.49,13.14,0.02,6.5,Asia
Construction,china,2000,82.31,133.5,6.2,24.42,13.22,7.18,1229.99,13143.08,44.74,35.13,14.68,4.69,Asia
Manufacturing,china,2001,253.44,266.99,96.24,30.11,23.54,18.05,1191.7,22180.52,57.89,84.01,-3.73,3.18,Asia
Energy,india,2013,62.74,58.41,89.37,199.9,17.09,7.14,426.34,10421.76,31.19,75.71,6.3,-4.93,Asia
Energy,china,2013,77.3,4.99,57.45,109.66,44.2,7.33,41.61,15785.22,64.13,75.95,11.78,-2.77,Asia
Energy,india,2005,104.31,178.95,28.86,65.56,23.13,6.56,1441.38,24805.54,85.36,98.83,6.73,7.34,Asia
Manufacturing,china,2009,250.45,460.58,79.15,11.85,32.47,4.58,19.64,15848.46,65.71,1.4,8.66,2.99,Asia
Mining,india,2019,269.98,170.5,24.85,170.19,24,15.49,993.8,21932.57,33.09,46.85,5.54,9.46,Asia
Mining,china,2020,10.83,299.32,77.01,115,40.53,10.65,404.54,22982.13,89.41,90.35,-7.53,-1.55,Asia
Manufacturing,india,2001,272.99,780.12,14.63,163,16.29,11.58,299.7,20919.31,75.98,28.51,12.2,-4.91,Asia
Manufacturing,india,2010,80.78,158.55,90.54,199.08,11.72,3.96,441.41,23408.76,71.39,80.62,1.58,1.64,Asia
Manufacturing,china,2014,38.86,949.17,91.59,193.4,32,4.97,361.93,16949.86,52.91,30.54,-7.81,7.83,Asia
Manufacturing,india,2004,53.2,324.09,74.97,110.06,38.71,6.88,495.28,802.81,24.53,44.71,-9,4.28,Asia
Mining,india,2012,229.65,997.43,98.39,113.97,42.55,6.71,202.19,23601.81,89.53,15.56,8.55,7.62,Asia
Manufacturing,india,2010,260.72,364.5,36.04,159.11,41.2,2.02,761.83,2097.81,81.17,81.13,-2.1,-0.62,Asia
Manufacturing,india,2000,213.95,68.32,33.09,178.77,14.11,2.83,1043.63,13008.69,79.65,63.1,-5.98,1.76,Asia
Energy,india,2017,107.85,42.68,38.26,51.11,44.27,15.43,719.61,23471.12,78.35,81.31,-6.68,0.7,Asia
Energy,china,2004,86.62,867.35,89.5,19.51,18.07,14.89,598.32,17407.61,36.69,92.09,-2.47,-2.37,Asia
Energy,china,2006,36.86,361.88,10.42,15.87,12.97,12.2,774.49,6906.63,73.9,72.15,-8.67,9.56,Asia
Construction,china,2014,35.49,867.73,1.94,31.01,5.58,7.99,10.01,16901.56,71.34,60.69,8.87,-4.15,Asia
Construction,china,2009,174.43,801.2,56.72,94.89,37.92,15.59,656.57,24476.62,39.51,37.84,2.27,6.45,Asia
Construction,india,2010,232.39,315.7,65.69,16.3,27.66,13.14,1393.95,23677.53,24.38,78.99,-0.16,9.17,Asia
Manufacturing,india,2010,66.79,119.14,46.06,120.29,31.63,12.68,609.24,9857.75,37.45,46.16,0.49,5.35,Asia
Mining,india,2015,56.28,940.03,79.22,43.05,5.62,12.57,281.73,3959.47,22.81,40.07,10.83,-2.1,Asia
Manufacturing,india,2001,114.33,828.1,29.65,74.66,18.94,1.71,560.38,21501.52,99.91,84.71,10.16,-4.86,Asia
Manufacturing,india,2020,205.41,477.03,70.24,78.67,42.34,6.37,221.65,23759.84,36.62,46.7,7.58,2.69,Asia
Construction,china,2022,276.23,638.15,83.53,159.89,4.84,2.77,1409.59,3125.56,30.35,86.46,-2.25,8.28,Asia
Construction,china,2010,68.04,625.74,68.64,199.54,32.29,0.49,357.14,9947.86,46.04,58.58,-5.85,4.84,Asia
Construction,china,2008,258.15,843.69,68.8,179.95,13.25,15.71,278.78,11557.44,44.09,22.68,7.79,-4.3,Asia
Energy,china,2005,36.61,655.37,49.05,55.12,45.15,7.23,1115.83,11516.27,33.86,65.24,10.39,-2.06,Asia
Energy,india,2008,33.41,153.07,23.48,97.26,36.95,13.81,459.64,6553.61,34.76,23.3,4.95,-4.71,Asia
Mining,china,2018,274.33,46.41,56.69,6.79,43.49,15.31,424.37,16633.89,96.58,51.33,14.96,9.56,Asia
Construction,india,2009,68.66,827.79,38.17,163.13,13.46,10.08,394.03,8976.36,83.87,24.26,-9.78,-0.38,Asia
Mining,india,2008,141.08,346.17,48.1,84.26,3.9,1.6,1220.04,15663.36,75.95,85.2,-0.21,8.9,Asia
Manufacturing,india,2010,283.41,202.02,51.14,162.41,4.17,7.97,676.51,9709.33,34.64,5.72,-0.48,6.71,Asia
Energy,china,2005,161.07,998.47,97.76,174.13,46.38,14.62,503.51,21106.15,67.01,28.36,-1.13,5.9,Asia
Manufacturing,china,2006,280.57,743.38,32.48,24.74,30.05,7.2,242.87,22321.78,58.73,52.5,-4.36,9.7,Asia
Construction,india,2005,144.22,289.45,19.08,166.59,27.19,12.48,664.27,16515.08,99.75,55.14,-2.45,0.68,Asia
Manufacturing,india,2020,210.11,868.98,92.48,138.71,38.95,7.15,615.85,13861.54,85.55,69.48,9.62,6.12,Asia
Energy,india,2011,58.58,483.21,36.92,97.2,15.33,8.55,458.86,16221.88,74.78,7.22,13.05,8.08,Asia
Energy,china,2003,146.73,330.71,16.99,24.53,45.57,7.82,149.27,2259.75,24.1,63.41,-8.38,7.32,Asia
Mining,india,2010,66.5,848.48,54.11,29.21,2.18,17.86,282,22916.52,50.56,36.47,-2.21,1.93,Asia
Manufacturing,india,2022,113.81,706.76,29.52,85.35,32.8,11.91,1369.73,2262.07,47.69,86.7,-2.68,-4.82,Asia
Manufacturing,india,2009,254.58,111.58,36.31,145.37,27.93,0.65,828.64,740.23,72.18,96.91,6.67,-1.84,Asia
Manufacturing,china,2002,272.4,110.38,50.57,14.84,45.86,17.35,1299.5,14986.24,21.84,45.88,14.56,7.97,Asia
Energy,china,2020,228.05,854.15,25.16,109.78,17.18,12.18,626.97,3569.06,23.4,69.25,9.14,3.94,Asia
Manufacturing,china,2002,1.05,171.11,87.36,91.01,17.36,15.86,111.78,2489.56,22.08,78.1,-8.08,8.25,Asia
Construction,china,2005,131.01,292.23,85.88,164.17,44.56,11.91,66.32,12855.97,98.51,99.17,8.75,7.52,Asia
Construction,india,2022,14.98,123.77,71.3,19.34,31.73,4.36,1094.16,12402.45,84.98,60.96,-3.2,-4.26,Asia
Energy,china,2001,187.74,649.51,95.01,162.72,1.54,19.43,1318.1,20408.26,62.83,87.11,-1.08,9.18,Asia
Energy,india,2005,216.15,651.03,2.9,7.43,2,15.49,193.79,14198.8,40.58,12.67,0.11,-4.8,Asia
Mining,china,2017,239.8,431.09,21.34,83.27,11.93,15.04,685.38,12393.43,31.34,66.61,6.46,0.12,Asia
Mining,india,2010,249.55,338.89,83.73,147.08,15.23,6.97,982.3,13841.74,62.49,6.82,-5.81,9.04,Asia
Construction,india,2014,203.12,278.17,58.73,8.06,28.66,1.34,1332.98,2813.63,47.3,91.47,-3.22,0.08,Asia
Construction,india,2012,127.14,902.25,20.54,182.97,27.47,15.26,395.77,1514.26,25.66,32.43,12.15,-3.78,Asia
Mining,india,2001,10.19,448.01,38.92,198.44,17.37,10.52,348.94,22918.33,76.49,15.16,-7.97,6.87,Asia
Mining,india,2017,24.76,448.1,67.77,172.36,43.49,13.2,1478.16,15342.4,56.1,96.48,-4.07,2.49,Asia
Mining,china,2007,279.36,811.45,17.7,70.73,41.46,2,793.06,20312.89,98.29,48.09,7.56,-3.99,Asia
Energy,india,2021,209.25,511.97,7.84,79.32,12.29,15.11,1473.82,19634.76,94.94,43.49,3.21,-2.19,Asia
Construction,china,2009,266.19,192.26,86.35,22.19,25.6,2.67,1195.38,4242.57,61.76,54.4,4.05,0.7,Asia
Construction,china,2004,248.83,909.64,84.02,11.03,10.09,6.09,1305.85,6179.49,96.9,85.74,3.09,3.46,Asia
Manufacturing,china,2004,66.45,499.58,84.76,71.02,45.91,15.79,446.01,16940.67,82.5,75.12,9.61,8.28,Asia
Manufacturing,india,2001,231.58,47.23,61.6,192.78,26.52,9.87,766.29,8005.28,34.06,47.21,7.02,-0.41,Asia
Mining,india,2017,38.98,621.39,29.31,119.55,28.66,5.13,955.43,7173.02,38.33,1.31,4.17,-4.66,Asia
Mining,india,2016,267.29,281.16,92.79,150.51,19.06,11.23,79.11,24891.17,58.27,32.59,-7.25,0.72,Asia
Construction,china,2018,176.58,219.66,56.68,107.81,10.44,4.09,839.75,19721.94,58.35,72.95,11.65,9.95,Asia
Construction,india,2022,49.37,956.5,33.16,194.2,24.33,5.68,1114.76,13423.68,66.81,16.81,8.09,-3.13,Asia
Mining,china,2009,13.82,532.18,74.71,43.96,38.87,16.31,509.57,9654.4,86.4,1.89,7.46,-0.83,Asia
Construction,china,2016,69.82,98.48,55.89,187.77,47.95,4.05,41.8,9615.17,64.82,43.52,4.72,0.05,Asia
Construction,china,2002,39.39,27.47,68.74,94.03,22.4,14.89,587.06,9346.66,92.02,55.45,14.81,-2,Asia
Manufacturing,india,2011,100.13,16.14,14.77,196.29,0.39,18.65,702.6,9197.17,33.47,77.37,-9.65,8.57,Asia
Energy,china,2004,201.78,993.39,65.08,154.05,10.11,4.21,785.52,4245.66,57.97,86.08,2.12,9.19,Asia
Construction,china,2006,282.18,510.36,26.56,128.81,19.81,5.47,620.65,10696.65,57.07,37.52,10.55,5.11,Asia
Construction,china,2004,48.11,552.87,7.95,0.45,42.71,10.43,713.47,1109.03,68.24,98.49,0.09,9.63,Asia
Manufacturing,india,2012,245.59,315.22,13.11,149.9,3.62,18.56,816.82,8225.36,74,55.16,7.84,5.78,Asia
Manufacturing,china,2011,75.55,619.82,79.64,116.33,33.26,10.98,434.48,13076.6,52.09,56.93,-3.25,8.05,Asia
Manufacturing,india,2016,142.1,855.66,79.95,174.03,32.21,5.77,209.76,4291.61,94,75.64,1.54,8.29,Asia
Construction,china,2018,282.91,541.49,39.15,68.86,10.17,14.9,157.11,17544.32,98.81,73.78,4.85,6.25,Asia
Energy,india,2013,94.71,408.49,82.1,9.68,34.71,3.83,1414.85,9268.34,51.28,33.84,14.24,9.47,Asia
Manufacturing,china,2015,88.59,617.95,75.93,21.76,3.07,19.48,796.83,13112.16,41.19,48.47,-2.14,9.86,Asia
Construction,india,2008,24.88,151.99,41.58,153.39,40.1,3.9,578.8,11145.71,99.71,40.35,9.39,5.42,Asia
Manufacturing,china,2011,258.73,270.95,59.01,78.62,39.76,19.78,461.46,23778.41,60.76,97.25,-8.39,-3.19,Asia
Construction,india,2004,200.23,815,70.49,164.9,22.6,7.15,954.59,2671.24,47.85,26.89,7.96,7.52,Asia
Construction,india,2012,61.52,328.35,97.77,26.88,19.54,16.94,1025.08,105.43,26.67,26.89,7.08,7.08,Asia
Manufacturing,india,2003,138.59,899.48,93.28,145.1,42.42,19.18,618.81,20276.99,88.83,16.82,-8.63,9.72,Asia
Construction,china,2019,161.2,371.96,98.41,171.72,29.15,11.4,940.59,10243.89,32.94,47.62,7.79,3.46,Asia
Construction,china,2019,6.23,813.27,29.42,36.41,36.62,13.52,899.37,22078.7,79.52,28.99,12.06,9.8,Asia
Energy,india,2006,105.09,325.14,4.24,110.31,44.57,7.66,597.04,12919.03,43.19,10.99,5.49,9.01,Asia
Mining,china,2000,235.92,839.05,42.89,118.8,43.77,16.37,1087.34,4031.15,79.52,24.91,-6.89,-2.61,Asia
Energy,india,2008,74.66,935.33,28.16,116,39.9,5.81,258.96,8414.71,39.85,71.05,-3.7,6.27,Asia
Mining,india,2021,110.85,736.06,82.62,73.31,17.56,2.01,1016.49,11299.58,43.13,26.73,12.65,7.65,Asia
Manufacturing,india,2018,217.97,397.44,58.65,113.07,20.04,4.61,1446.52,238.33,62.5,73.97,1.44,6.25,Asia
Manufacturing,china,2002,253.24,767.04,38.05,95.37,5.08,0.47,1162.12,6241.43,76.48,36.65,1.47,9.78,Asia
Mining,china,2007,122.05,266.61,55.84,106.73,47.56,4.4,544.8,4930.41,79.4,8.06,14.39,2.23,Asia
Mining,india,2007,88.51,523.36,58.25,6.21,11.14,7.18,1002.25,2307.21,25.69,10.8,14.75,6.26,Asia
Manufacturing,china,2015,155.82,617.14,29.39,39.54,4.64,7.25,1038.09,15477.66,74.26,40.16,-9.58,4.95,Asia
Mining,china,2002,204.25,615.46,10.07,59.9,37.88,11.56,217.21,17089.72,48.73,65.74,-4.57,-3.92,Asia
Manufacturing,china,2007,277.37,632.27,21.07,127.08,43.54,0.85,1311.08,23226.48,57.84,88.34,14.46,-3.54,Asia
Construction,china,2017,187.64,402.06,97.26,11.62,17.63,5.45,542.5,20529.45,32.76,49.56,-5.62,-4.63,Asia
